,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 195.5)","(196.5, 455.5)","(456.5, 803.5)","(804.5, 1094.5)","(1095.5, 1298.5)","(1299.5, 1648.5)","(1649.5, 1755.5)"
"Time length, sec",190.0,259.0,347.0,290.0,203.0,349.0,106.0
Number of epochs,188,242,327,277,187,329,92
