Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9576,0.9985422154486545,0.9569462280922781,0.9570602481363926,0.9568281601664003,0.989,0.9961,0.9994,0.9998,1.0
0.9642,0.9988984456538196,0.9635676758730254,0.9636103375085703,0.9634667509021287,0.9918,0.9972,0.9996,0.9998,1.0
0.9676,0.9990737464238206,0.96735428143178,0.9667209223699931,0.9668577316343432,0.9927,0.9976,0.9995,0.9998,1.0
0.9711,0.9992038666404168,0.9706197475768261,0.9704231724669585,0.9704603303159915,0.9934,0.9976,0.9995,0.9998,1.0
0.9715,0.9992329366167426,0.9720852151341658,0.9703271434645403,0.9709073254843066,0.994,0.9979,0.9995,0.9998,1.0
0.974,0.9993093827703303,0.9734911952152829,0.9733473177932168,0.9733844081433505,0.9942,0.9977,0.9995,0.9998,1.0
0.9745,0.9993335739655338,0.9739819651695184,0.9738917482469158,0.9739272471246059,0.9947,0.9981,0.9994,0.9998,1.0
0.9743,0.9993492842708611,0.9736604255766474,0.9739747400304335,0.973733704596812,0.9948,0.9981,0.9996,0.9998,1.0
0.9756,0.9993810681102778,0.9749716217417893,0.9751233812229663,0.9750264245182881,0.9947,0.9986,0.9997,0.9998,1.0
0.9751,0.9993871178093092,0.9746088462430945,0.9745813184571219,0.9745590333342194,0.995,0.998,0.9997,0.9998,1.0
