,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,0,40,15,3,Mode,"[0, 479, 682, 1046]",137682.16563504294,30.996480291340394,0.023255317380533398,35.9940482111573,5.323595881770479,0.05711648770884272,44.25030771355782,3.637177551848114,0.6418617320665606,0.4267744168316536,0.6063744151050243
1,0,40,10,4,Median,"[0, 203, 555, 931, 1046]",63926.679272374306,20.164240129563982,0.016929927681882277,26.712848569635067,7.469145184658789,0.03992921200881953,21.543212477177416,6.49365281447579,0.628221450496783,0.4092618155755602,0.5559733638612323
2,60,35,15,5,Median,"[0, 203, 554, 682, 888, 1046]",116959.34163674084,34.0921124051923,0.018825756758404102,33.06763899615515,6.169728693035442,0.07779386568647385,39.004728926543386,3.4349574082420653,0.7286504462643696,0.5401105596564808,0.6368301290632005
3,60,40,15,6,Median,"[0, 92, 232, 554, 682, 888, 1046]",89960.3043765944,31.508365920221934,-0.003293628795636142,28.965958756401964,5.943926905833301,0.06543406242010437,30.009866945605875,3.6056647374045867,0.7400848092424406,0.5579098494465156,0.6388947569551192
4,20,35,20,7,Mode,"[0, 136, 203, 554, 682, 842, 976, 1046]",103760.4034242773,38.66206711862039,0.00868774333022396,31.145731767686833,5.538050843764607,0.09515872721745404,34.54114372891363,2.7932622194366634,0.770656777303757,0.5611047284624167,0.6399255003639741
5,20,35,20,8,Mode,"[0, 136, 203, 342, 554, 682, 842, 976, 1046]",82382.31616379577,34.24189495753415,0.004276073948358774,28.204870581384128,5.523765237306574,0.08053419797351442,27.44451954293462,3.3711110849841393,0.7793472936070405,0.5782297313394573,0.6379677736227233
6,20,35,20,9,Mode,"[0, 136, 203, 342, 479, 554, 682, 842, 976, 1046]",65794.60309660768,31.828844182337498,-0.005191572575319012,25.6909194380524,5.4129105856950765,0.06986536679185187,22.053018830429608,3.59845854242791,0.7973127899555096,0.6071996909411388,0.6615525509147547
7,40,40,20,10,Mode,"[0, 91, 203, 342, 479, 554, 682, 785, 842, 976, 1046]",53378.610388235276,31.388002954269577,-0.00753345166920652,24.132399816753303,5.336802298022684,0.06583834620545438,18.181919745414874,3.633828935580342,0.8296331256448083,0.6590675093658435,0.708991395155278
8,20,35,20,11,Mode,"[0, 44, 136, 203, 342, 479, 554, 682, 842, 931, 976, 1046]",50744.13380186629,30.98580408486594,-0.0159605548857856,22.21941700696489,5.168098814868796,0.06625321970973964,17.16163356626288,3.691870728719953,0.7984426405536224,0.5923524412625473,0.6501965911014457
9,20,35,20,12,Mode,"[0, 44, 136, 203, 342, 479, 554, 682, 785, 842, 931, 976, 1046]",43656.64577950672,30.961380657997278,-0.013784123248108555,21.325830268069367,5.08343252526556,0.06679333414255063,14.997614543396823,3.665993738807563,0.8231774322084423,0.6274764136198453,0.6854834925550414
10,40,40,20,13,Mode,"[0, 91, 136, 203, 261, 342, 479, 554, 682, 785, 842, 931, 976, 1046]",39492.76848941546,29.991172759942888,-0.013859726514247299,19.91937897892702,5.300451491861584,0.06499177229156564,13.513823407354417,3.845315993199598,0.806989360513989,0.6033168083926697,0.6684693606571035
11,40,45,10,14,Median,"[0, 52, 91, 186, 203, 246, 294, 340, 479, 554, 682, 842, 931, 976, 1046]",38605.018474362274,29.923168414379628,-0.03618782749961773,17.9487501071748,5.162970994207243,0.06509754454911526,13.135697699641925,3.768140745086443,0.7888116959141993,0.5841555019109984,0.6470474905835234
12,60,50,10,15,Median,"[0, 91, 128, 186, 203, 246, 295, 340, 444, 479, 554, 682, 798, 842, 976, 1046]",32252.068661616333,28.197275559621204,-0.02465025363333064,16.67164351923491,5.613962135034938,0.06368007692611728,11.031990960835758,4.096850666270201,0.7826422492657444,0.5681809888428048,0.6373645791195028
13,40,45,20,16,Mode,"[0, 44, 91, 136, 186, 203, 246, 280, 342, 479, 554, 682, 785, 842, 931, 976, 1046]",31995.03289020073,29.139710259387186,-0.029186151231705617,16.710711886597604,5.15707467024352,0.06836200416530436,11.150194042929831,3.8842382652488268,0.8148826867104222,0.6054574875140323,0.6772243575509256
