,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 121.9)","(122.7, 196.3)","(197.1, 268.3)","(269.1, 449.9)","(450.7, 506.7)","(507.5, 619.5)","(620.3, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",112.0,73.60000000000001,71.20000000000002,180.79999999999995,56.0,112.0,138.4000000000001,117.60000000000002,60.80000000000007
Number of epochs,128,79,81,198,68,127,161,134,70
