,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,0,45,15,Mode,40,[   0  552  682 1046],3,552,130,348.6666666666667,364521.75097984576,59.70691140353176,0.018090806584420038,23.802358012552276,6.836151998830758,0.06636136757827389,32.09288342038637,3.508184392760729,0.6073236522623329,0.3393411811857745,0.551790479375152
1,0,50,20,Mode,40,[   0  252  552  682 1046],4,364,130,261.5,308010.3655096029,54.23105364485125,0.013112477413996813,24.2733616557687,7.613355447265768,0.054969898845692235,27.623693590540366,3.8187824659318843,0.7092340927119007,0.501523918205807,0.6327873397160986
2,60,50,15,Median,40,[   0  207  552  682  855 1046],5,345,130,209.2,300424.39273316314,55.95215586944516,0.01027040576859284,22.070674404668665,6.622987689920213,0.06170585857141045,27.4631599988709,3.808318189910608,0.7626610447352186,0.5718152827802974,0.6665281407664837
3,40,50,20,Mode,40,[   0  124  210  552  682  842 1046],6,342,86,174.33333333333334,234857.19223923376,53.88593757393945,-0.0018676616852540513,19.788659330253896,6.138751356402241,0.061026971157042566,21.558742686322876,3.899515308851754,0.7668658000987908,0.5885513439969309,0.6710245439371869
4,40,50,20,Mode,40,[   0  124  210  552  682  842  976 1046],7,342,70,149.42857142857142,238326.89207085082,57.53663657593211,0.0008079339370627499,19.15211006685255,6.566423505084395,0.06676773041335247,21.72347974999647,3.6079253665590123,0.8061478410669478,0.6331759030776691,0.7011933743428176
5,40,45,20,Mode,40,[   0  124  210  340  552  682  842  976 1046],8,212,70,130.75,190520.21571492875,51.53076980235702,-0.0012735731009875387,17.274716181246603,6.672241478531325,0.055225486420730927,17.36273009430321,4.287325006877266,0.8112933162956857,0.6523670840158963,0.6985876105814178
6,0,40,15,Mode,40,[   0   92  154  252  340  552  682  842  976 1046],9,212,62,116.22222222222223,160045.911764576,47.21231561338591,-0.019477983394797782,15.175598147751268,6.866266415353642,0.05326543941567143,14.49434945902546,4.790117079725272,0.8188409524124936,0.6649364289194561,0.7076656977702721
7,0,40,20,Mode,40,[   0   92  154  252  340  552  682  776  842  976 1046],10,212,62,104.6,133234.66203100773,47.863530413500825,-0.01902611661052518,14.43284971766288,6.629335742064901,0.051730415874202726,12.142703799421671,4.681424145093461,0.8345811842819545,0.6918884338017585,0.7302525528112439
8,40,50,10,Mode,40,[   0  124  210  340  486  552  682  798  842  932  976 1046],11,146,44,95.0909090909091,111707.44057331243,49.42271462172763,-0.00664089792519274,13.97111272122085,6.103944647765166,0.046536481301070465,10.173530220672857,4.415097775078724,0.8315682445131453,0.6907687918275036,0.7305292710784751
9,40,50,20,Median,40,[   0  124  207  263  340  486  552  682  780  842  932  976 1046],12,146,44,87.16666666666667,105010.49322362152,49.5066866456461,-0.017077943427182198,13.372405895160911,5.927850205045263,0.045961740661210525,9.677740067481553,4.325463034986171,0.844918098029983,0.7113422717459854,0.7520693477264394
10,40,35,20,Median,40,[   0  124  210  265  340  403  486  552  682  785  842  932  976 1046],13,130,44,80.46153846153847,100325.1218492982,49.093744334230706,-0.020159157359107362,12.54121832149414,5.925568596821398,0.04474234561261511,9.258580583414702,4.30478533624743,0.832563452058509,0.6578702329462442,0.7082608351206288
11,40,50,20,Median,40,"[   0   52  124  207  263  340  403  486  552  682  780  842  932  976
 1046]",14,130,44,74.71428571428571,90928.32744281467,47.171906640845094,-0.022827768884688904,11.833426726450682,5.956154547878663,0.040490946721039436,8.395914521739481,4.451952153567152,0.8172489200924055,0.6239411241172761,0.6821376147973064
