,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 80.5)","(81.5, 369.5)","(370.5, 492.5)","(493.5, 692.5)","(693.5, 756.5)","(757.5, 953.5)","(954.5, 1101.5)","(1102.5, 1319.5)"
"Time length, sec",75.0,288.0,122.0,199.0,63.0,196.0,147.0,217.0
Number of epochs,72,269,117,195,63,188,136,209
