,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 252.5)","(253.5, 489.5)","(490.5, 1050.5)","(1051.5, 1340.5)","(1341.5, 1892.5)","(1893.5, 2099.5)","(2100.5, 2263.5)"
"Time length, sec",247.0,236.0,560.0,289.0,551.0,206.0,163.0
Number of epochs,226,217,501,263,494,192,160
