,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 267.5)","(268.5, 344.5)","(345.5, 685.5)","(686.5, 782.5)","(783.5, 1339.5)","(1340.5, 1404.5)","(1405.5, 1531.5)"
"Time length, sec",262.0,76.0,340.0,96.0,556.0,64.0,126.0
Number of epochs,249,76,320,92,505,63,114
