,0,1,2,3,4
"Start-end time, sec","(5.5, 399.5)","(400.5, 576.5)","(581.5, 912.5)","(913.5, 1014.5)","(1015.5, 1281.5)"
"Time length, sec",394.0,176.0,331.0,101.0,266.0
Number of epochs,369,168,313,99,248
