,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 195.5)","(196.5, 459.5)","(460.5, 652.5)","(654.5, 1093.5)","(1094.5, 1298.5)","(1299.5, 1650.5)","(1651.5, 1755.5)"
"Time length, sec",190.0,263.0,192.0,439.0,204.0,351.0,104.0
Number of epochs,188,245,181,419,188,331,90
