,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 164.5)","(165.5, 565.5)","(566.5, 685.5)","(686.5, 997.5)","(998.5, 1140.5)","(1141.5, 1278.5)","(1279.5, 1531.5)"
"Time length, sec",159.0,400.0,119.0,311.0,142.0,137.0,252.0
Number of epochs,148,382,115,284,136,123,231
