,0,1,2,3,4,5
"Start-end time, sec","(5.5, 401.5)","(402.5, 952.5)","(953.5, 1403.5)","(1404.5, 1523.5)","(1524.5, 2074.5)","(2075.5, 2346.5)"
"Time length, sec",396.0,550.0,450.0,119.0,550.0,271.0
Number of epochs,378,521,423,119,512,258
