,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 245.5)","(246.5, 489.5)","(490.5, 947.5)","(948.5, 1269.5)","(1270.5, 1703.5)","(1704.5, 2054.5)","(2055.5, 2256.5)","(2257.5, 2428.5)","(2429.5, 2695.5)","(2696.5, 3158.5)","(3159.5, 3229.5)","(3230.5, 3562.5)"
"Time length, sec",240.0,243.0,457.0,321.0,433.0,350.0,201.0,171.0,266.0,462.0,70.0,332.0
Number of epochs,228,231,433,309,408,329,185,159,257,428,67,319
