Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9146,0.9926351277777775,0.9139824613747358,0.9145999999999999,0.9124662917256241,0.9702,0.9849,0.9943,0.9968,0.9987
0.9161,0.9931542833333332,0.919960464212128,0.9160999999999999,0.9143873670238168,0.9736,0.9885,0.9949,0.9972,0.999
0.8974,0.9920162222222222,0.9207791139091828,0.8974,0.9000162279886006,0.9718,0.9872,0.9944,0.9974,0.9993
0.9223,0.9935603666666667,0.922614790173436,0.9223000000000001,0.9220255348882447,0.9791,0.9907,0.9949,0.9976,0.9992
0.9263,0.9937993333333335,0.9266076242430332,0.9263,0.9255846092150145,0.9798,0.9891,0.9947,0.9974,0.999
0.9358,0.9936730777777778,0.9353193774622287,0.9357999999999999,0.9351771083692932,0.98,0.9884,0.9938,0.9961,0.9987
0.9291,0.9934583555555554,0.9300272841462928,0.9291,0.9291040183381213,0.9775,0.9871,0.993,0.9958,0.9982
0.9366,0.9940002055555552,0.9373740246786447,0.9366000000000001,0.9367829602464923,0.9815,0.9894,0.994,0.9965,0.9987
0.9355,0.9934588333333333,0.9371679148296416,0.9355,0.9358907773989621,0.9816,0.9906,0.9944,0.9969,0.9992
0.9343,0.9938591111111114,0.934211427855136,0.9343,0.9335475710154949,0.978,0.9872,0.9933,0.9966,0.9986
