,IV,feature
0,0.21798210434165005,greyscale -> gray -> betti-0
1,0.21795866908573347,greyscale -> gray -> betti-1
2,0.26892551276248244,greyscale -> gray -> betti-2
3,0.23190380271723468,greyscale -> gray -> betti-3
4,0.3241859392618831,greyscale -> gray -> betti-4
5,0.32418086702973753,greyscale -> gray -> betti-5
6,0.33936966693830417,greyscale -> gray -> betti-6
7,0.27708422857474324,greyscale -> gray -> betti-7
8,0.10746973999321757,greyscale -> gray -> landscape-0
9,0.10746973999321757,greyscale -> gray -> landscape-1
10,0.10404946150507263,greyscale -> gray -> landscape-2
11,0.09232038478981792,greyscale -> gray -> landscape-3
12,0.1962085029715218,greyscale -> gray -> landscape-4
13,0.1962085029715218,greyscale -> gray -> landscape-5
14,0.16835334694755116,greyscale -> gray -> landscape-6
15,0.12863407727362688,greyscale -> gray -> landscape-7
16,0.13198135206656997,greyscale -> gray -> landscape-8
17,0.13198135206656997,greyscale -> gray -> landscape-9
18,0.12669944423656476,greyscale -> gray -> landscape-10
19,0.10970163637585137,greyscale -> gray -> landscape-11
20,0.2148206433236585,greyscale -> gray -> landscape-12
21,0.2148206433236585,greyscale -> gray -> landscape-13
22,0.19052149243212546,greyscale -> gray -> landscape-14
23,0.1552588904670506,greyscale -> gray -> landscape-15
24,0.15730965661156604,greyscale -> gray -> landscape-16
25,0.15730965661156604,greyscale -> gray -> landscape-17
26,0.14940385589018262,greyscale -> gray -> landscape-18
27,0.12865473435219765,greyscale -> gray -> landscape-19
28,0.2252246324030794,greyscale -> gray -> landscape-20
29,0.2252246324030794,greyscale -> gray -> landscape-21
30,0.2049904079781694,greyscale -> gray -> landscape-22
31,0.17607464106311277,greyscale -> gray -> landscape-23
32,0.11327785775446718,greyscale -> gray -> silhouette-0
33,0.11327785775446718,greyscale -> gray -> silhouette-1
34,0.10468950911658582,greyscale -> gray -> silhouette-2
35,0.09119342911953619,greyscale -> gray -> silhouette-3
36,0.16036386285389045,greyscale -> gray -> silhouette-4
37,0.16036386285389045,greyscale -> gray -> silhouette-5
38,0.13100922284483307,greyscale -> gray -> silhouette-6
39,0.10484182244256848,greyscale -> gray -> silhouette-7
40,0.10044823936027367,greyscale -> gray -> silhouette-8
41,0.10044823936027367,greyscale -> gray -> silhouette-9
42,0.09167260085217656,greyscale -> gray -> silhouette-10
