,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 224.5)","(225.5, 683.5)","(684.5, 778.5)","(779.5, 1183.5)","(1184.5, 1324.5)","(1325.5, 1421.5)","(1422.5, 1704.5)","(1705.5, 2007.5)","(2008.5, 2090.5)","(2091.5, 2316.5)","(2317.5, 2699.5)"
"Time length, sec",219.0,458.0,94.0,404.0,140.0,96.0,282.0,302.0,82.0,225.0,382.0
Number of epochs,212,427,88,391,131,93,271,290,79,213,359
