,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 228.5)","(229.5, 988.5)","(989.5, 1107.5)","(1108.5, 1620.5)","(1621.5, 1735.5)","(1736.5, 2041.5)","(2042.5, 2186.5)","(2187.5, 2663.5)","(2664.5, 2940.5)","(2941.5, 3016.5)"
"Time length, sec",220.0,759.0,118.0,512.0,114.0,305.0,144.0,476.0,276.0,75.0
Number of epochs,206,702,114,472,106,284,138,462,265,75
