,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(20.5, 107.5)","(108.5, 543.5)","(544.5, 1067.5)","(1068.5, 1601.5)","(1603.5, 2005.5)","(2006.5, 2896.5)","(2897.5, 3292.5)","(3293.5, 4431.5)","(4432.5, 4549.5)"
"Time length, sec",87.0,435.0,523.0,533.0,402.0,890.0,395.0,1138.0,117.0
Number of epochs,85,403,494,502,386,846,368,1088,113
