Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.8706,0.9857884833333336,0.8695952509349677,0.8705999999999999,0.8697823043618067,0.9547,0.9804,0.9923,0.9962,0.9993
0.8813,0.9879072555555556,0.879669803824779,0.8812999999999999,0.8795946854479266,0.959,0.9837,0.994,0.998,0.9996
0.8839,0.9888383111111109,0.8833259877245491,0.8838999999999999,0.8831811293962074,0.9622,0.9853,0.9964,0.9988,0.9997
0.8882,0.9896347888888889,0.8868921175751755,0.8882,0.8870162122700916,0.9638,0.9857,0.9969,0.9987,0.9999
0.8923,0.9896932944444442,0.8917187672316167,0.8923,0.8913725134930172,0.965,0.9872,0.9978,0.9992,1.0
0.8914,0.9902551444444444,0.8915292125540679,0.8914,0.8911563791310856,0.9652,0.9882,0.9979,0.9992,1.0
0.8942,0.9904801055555557,0.8941211919519121,0.8942,0.8938749522174374,0.9675,0.9894,0.9983,0.9993,1.0
0.8962,0.9907700444444443,0.8951936515551153,0.8962,0.8953427336685158,0.9683,0.9896,0.9982,0.9993,1.0
0.8978,0.9909043555555556,0.8973232062741576,0.8977999999999999,0.8971785275947497,0.9675,0.9892,0.9984,0.9995,1.0
0.897,0.9912532111111111,0.8957787974862248,0.8969999999999999,0.8955704556658957,0.968,0.9893,0.9982,0.9994,1.0
