Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9087,0.9912354444444444,0.9081279858821594,0.9087,0.9073974255796948,0.9726,0.9861,0.9947,0.9976,0.9994
0.9024,0.9895493555555556,0.9044815121484808,0.9024000000000001,0.9013870585508176,0.9654,0.9817,0.9921,0.9954,0.9974
0.8964,0.9887160444444446,0.8996797066149617,0.8964000000000001,0.8950706937991149,0.9645,0.9807,0.9899,0.9953,0.9982
0.9177,0.9915883666666667,0.9181960059497987,0.9177,0.9164087450263348,0.9699,0.9834,0.9925,0.9956,0.9977
0.9153,0.9926267388888886,0.9147864585338914,0.9153,0.9145912887143449,0.9748,0.9865,0.993,0.9956,0.9984
0.9174,0.9918504666666667,0.9180118166962179,0.9174,0.916467105197975,0.9744,0.9857,0.9928,0.9958,0.9988
0.9188,0.9922100500000001,0.9198794151765968,0.9188000000000001,0.9186296185688502,0.974,0.9856,0.9914,0.9953,0.9983
0.9168,0.991220572222222,0.916650617544294,0.9168,0.916536054998434,0.974,0.9844,0.9919,0.9961,0.9983
0.9264,0.9924215888888889,0.9265983911257611,0.9264000000000001,0.9262999685568312,0.9782,0.9874,0.9929,0.9952,0.9979
0.9205,0.9904663222222224,0.9246873958413119,0.9205,0.9214532789365298,0.9754,0.9847,0.9907,0.9943,0.9975
